FLastName, Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of
06477ca01721b4b030d4853a6498faa81a2c91167a95e17fe775d9f7d8cfec3dc86b0, 1,8/29/2024 11:02,8/29/2024 11:07,,1,MC,,"What is the answer to life, the universe, and everything?",FALSE,1,38,UnChecked,0,1
304aca7a2559e39e98f3fd4eceb94afc70280d9c49ec023e4e177dd75773ff360a59b, 1,8/29/2024 11:02,8/29/2024 11:07,,1,MC,,"What is the answer to life, the universe, and everything?",FALSE,1,39,UnChecked,0,1
c5db6f6c8c27b24dd64f99200636fb59dd8ce3204ca03b3272904ce1b64e60b101213, 1,8/29/2024 11:02,8/29/2024 11:07,,1,MC,,"What is the answer to life, the universe, and everything?",FALSE,1,40,UnChecked,0,1
52edfa0d3b77a46a0947698fbd1e1ccbf24fa6fdfd33271ec3cb58dc5c3c62809f5fc, 1,8/29/2024 11:02,8/29/2024 11:07,,1,MC,,"What is the answer to life, the universe, and everything?",FALSE,1,41,Checked,0,1
306f68fdbd8264c6b534acdb8aa6d6168f7b1e4d38255d8a8e77c6c6ff13aa44f326f, 1,8/29/2024 11:02,8/29/2024 11:07,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",FALSE,1,25%,UnChecked,0,1
f285827a12c3b90ca282b9b87fc3d0b0f57f4d1e030ba763c0ec0bf4d57042f6dfaef, 1,8/29/2024 11:02,8/29/2024 11:07,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",FALSE,1,50%,Checked,0,1
6d509a45c8d4617aeb8a1f3d63c337e763869d858d127f9dc5fe1d6774cfd83cedea5, 1,8/29/2024 11:02,8/29/2024 11:07,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",FALSE,1,60%,UnChecked,0,1
0f60f7e58a46acc460954792fa1d539e709e54eae076bd83d065186eddec44cfeb4d7, 1,8/29/2024 11:02,8/29/2024 11:07,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",FALSE,1,25%,UnChecked,0,1
65ab7a8c3181f589706e0b1a0fc9c58926f71be04e19a5aac38307e883e84752944f7, 1,8/29/2024 11:02,8/29/2024 11:07,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",FALSE,1,TRUE,Checked,1,1
d99cdc0257157866ae2ccdf858d3c3446d2ea5933b1d50dd68055fb21223877dba86e, 1,8/29/2024 11:02,8/29/2024 11:07,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",FALSE,1,FALSE,UnChecked,1,1
cb16c25c77643066b96e19f181d08e682be615307d34f0dab8a57d8a8894eccb8ec89, 1,8/29/2024 11:02,8/29/2024 11:07,,4,MC,,How many letters are in the alphabet?,FALSE,1,11,UnChecked,0,1
a19d9499405fb37abd76ee3bc8d2d3141ad3c72faefcc3c81a0cbb073a1adacda3cc8, 1,8/29/2024 11:02,8/29/2024 11:07,,4,MC,,How many letters are in the alphabet?,FALSE,1,7,UnChecked,0,1
b7f86e8ea67edcbf22293d094b6f9a4274b7b71b7a5f9b3cd9fb90bd158bdc4429e56, 1,8/29/2024 11:02,8/29/2024 11:07,,4,MC,,How many letters are in the alphabet?,FALSE,1,26,Checked,0,1
9598a499c489304c249342a1f1c9376d8a3cef70171cd211306954a7cd62086368049, 1,8/29/2024 11:02,8/29/2024 11:07,,4,MC,,How many letters are in the alphabet?,FALSE,1,11010,UnChecked,0,1
4572ae7a75779ddd70d5984a676cce59bee64f6bbcc3c4684759aa725bd5364fc83b2, 1,8/29/2024 11:02,8/29/2024 11:07,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",FALSE,1,Disney sues you,Checked,0,1
7b7cc4a97f9f1fbb4ddcae28b0135307aa2a7f0e644d1127bdd29d052df22b6ce35bd, 1,8/29/2024 11:02,8/29/2024 11:07,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",FALSE,1,Paul Bettany joins you,UnChecked,0,1
39e42a348c737ce9c432b0270f76df9a3b66e67fa34cfd0a4d5f10cc0b37312f0a72f, 1,8/29/2024 11:02,8/29/2024 11:07,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",FALSE,1,You have two ships,UnChecked,0,1
50323e54338c2550d3be049ad8a83bf1150073a9ff96b8d315b80103003eadef38a5f, 1,8/29/2024 11:02,8/29/2024 11:07,,6,T/F,,Something can be both New and Improved,FALSE,1,TRUE,Checked,0,1
84c755339ddf47545b88f26f2f68f1d24612d582fc6af29a1f978dcc57703cfc9b859, 1,8/29/2024 11:02,8/29/2024 11:07,,6,T/F,,Something can be both New and Improved,FALSE,1,FALSE,UnChecked,0,1
59be60f4fab659e0f2ca64337504e2947faad31e3cda3649b2896c641a4e74dee8c54, 1,8/29/2024 11:02,8/29/2024 11:07,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",FALSE,1,Answer for blank # 1,Don't know,0,1
4f714b97840d0dd2b7cd27966fa6346a13cb839d1b3d88ed2596468f22e477679f8a0, 1,8/29/2024 11:02,8/29/2024 11:07,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",FALSE,1,Answer for blank # 2,Who cares,0,1
095c9b4bd5dbe789b2b5ace9bac946cd15c3427c41876447b4f8bc913eb67d2a307b7, 1,8/29/2024 11:02,8/29/2024 11:07,,8,MC,,Is your answer to this question 'no'?,FALSE,1,yes,Checked,1,1
db6c4dc210c1a744688b9b2cbb7f1da318fbd7d10b572a52703ca007105b0de4d7192, 1,8/29/2024 11:02,8/29/2024 11:07,,8,MC,,Is your answer to this question 'no'?,FALSE,1,no,UnChecked,1,1
f5d8449c6a5434844136518fc06a39daf0abff72750939c7f00864312f5935f26113d, 1,8/29/2024 11:02,8/29/2024 11:07,,9,MC,,"In the word ""scent"", which letter is silent?",FALSE,1,s,Checked,0,1
110cadc8f6073f348f0e38d34f0fc1c2832982f22c2cace0a211baebdca949ec81d61, 1,8/29/2024 11:02,8/29/2024 11:07,,9,MC,,"In the word ""scent"", which letter is silent?",FALSE,1,c,UnChecked,0,1
7ceb1c3abbdd1b582d59a8a5768c15dfdfecfc58ffd7f6d6b0157387ba1551a577768, 1,8/29/2024 11:02,8/29/2024 11:07,,9,MC,,"In the word ""scent"", which letter is silent?",FALSE,1,a,UnChecked,0,1
5c1174d6e4a7bf070158f789903c5fc4b3ce5afadae21e66bbfb843eb1f7775d6d36f, 1,8/29/2024 11:02,8/29/2024 11:07,,9,MC,,"In the word ""scent"", which letter is silent?",FALSE,1,p,UnChecked,0,1
95e3d24d4a7dd9544808f2c92a4ad37245c97c59311a63b33b8b94b7ceb2e340fe01b, 1,8/29/2024 11:02,8/29/2024 11:07,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",FALSE,1,coca cola,UnChecked,1,1
ae4d36fae960cada0dce7ae1d40a3219c6f13294f1e7f68ae9d4b4cb46b3e57900637, 1,8/29/2024 11:02,8/29/2024 11:07,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",FALSE,1,ice cream,Checked,1,1
59d66ba2c677eff2ab4260cd8b424d8171811d1c8eafec4d62d8e2c0feac5405e35cb, 1,8/29/2024 11:02,8/29/2024 11:07,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",FALSE,1,a popsicle,UnChecked,1,1
0f828a59599b33e0f7bfddb0a2a2186050b7f47bdfdf93ba9a70b659f3346a809cabc, 1,8/29/2024 11:02,8/29/2024 11:07,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",FALSE,1,frozen yogurt,UnChecked,1,1
e22403ddea04b600ad4ff279d8447143e2c78d2215193614f52b747ee233697ba917a, 1,8/29/2024 11:02,8/29/2024 11:05,,1,MC,,"What is the answer to life, the universe, and everything?",FALSE,1,38,UnChecked,0,1
4ad9c344b73cb4b414bf993f78ded101a8c80e8d666ddb743396493ad4e34752844a6, 1,8/29/2024 11:02,8/29/2024 11:05,,1,MC,,"What is the answer to life, the universe, and everything?",FALSE,1,39,UnChecked,0,1
ee564579e649bc4e634ded882dfcef53c1cd670dd496a454ac5fb9229018c741784b9, 1,8/29/2024 11:02,8/29/2024 11:05,,1,MC,,"What is the answer to life, the universe, and everything?",FALSE,1,40,UnChecked,0,1
53f0b317f173d21537ecd949503b61be5dd109c0129ad587755e02e1ce3cffe7ef657, 1,8/29/2024 11:02,8/29/2024 11:05,,1,MC,,"What is the answer to life, the universe, and everything?",FALSE,1,41,Checked,0,1
206077b0cbb0f048cc7abaf4c908f32ab86b2b34515fc5f62431e76fe5c71af67b492, 1,8/29/2024 11:02,8/29/2024 11:05,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",FALSE,1,25%,Checked,0,1
d6ab3242106b47d6b20eeb739a953c53856f6a13b70fe3a2360533961ce6513e69039, 1,8/29/2024 11:02,8/29/2024 11:05,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",FALSE,1,50%,UnChecked,0,1
8be3f9ecacc6b906520d8dd14926185751610f46e582b0125af03908e8b44bc111ab7, 1,8/29/2024 11:02,8/29/2024 11:05,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",FALSE,1,60%,UnChecked,0,1
1d0f921a5618a1e3c80be437c12408e35974a1f2c292c6f406a9a9666f3cd880e677d, 1,8/29/2024 11:02,8/29/2024 11:05,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",FALSE,1,25%,UnChecked,0,1
2510eed12afbc26f13126b9fab9d1d7d70dd2c1641806195654a7ae902d2d7ab85ed9, 1,8/29/2024 11:02,8/29/2024 11:05,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",FALSE,1,TRUE,Checked,1,1
fab5a16d4bf7ce1be07ab04539d571617de44c6c6cf13cb927790e1d2113f4f9a5442, 1,8/29/2024 11:02,8/29/2024 11:05,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",FALSE,1,FALSE,UnChecked,1,1
d1a2e2b7a3b15b2dd2edd714d075fea86a87f9a90369c72456aeb3d334bbf9eb2e3be, 1,8/29/2024 11:02,8/29/2024 11:05,,4,MC,,How many letters are in the alphabet?,FALSE,1,11,UnChecked,0,1
27181acaf3e4ba1df23a74adecf00b100bf5d16ba4159f013591cebd60b6ce1b5ee3d, 1,8/29/2024 11:02,8/29/2024 11:05,,4,MC,,How many letters are in the alphabet?,FALSE,1,7,UnChecked,0,1
fee8081015b233e9282a1782883c28440b3f8f309bf13e6ae13bd8f5bdc8dbb760789, 1,8/29/2024 11:02,8/29/2024 11:05,,4,MC,,How many letters are in the alphabet?,FALSE,1,26,Checked,0,1
07d05a4701120b23b355734224600ef90727f6cac62344333972d4b777f896597e859, 1,8/29/2024 11:02,8/29/2024 11:05,,4,MC,,How many letters are in the alphabet?,FALSE,1,11010,UnChecked,0,1
12180dd4969ad99e6b76eeafbe7f78aff35c646ac87bdd1bd172d9ace69aac1b35521, 1,8/29/2024 11:02,8/29/2024 11:05,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",FALSE,1,Disney sues you,Checked,0,1
ff92c721f782449d5db0820280e717ebca731b1e82ae9f303e7c11934196638202f80, 1,8/29/2024 11:02,8/29/2024 11:05,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",FALSE,1,Paul Bettany joins you,UnChecked,0,1
03c808d1a0f720f0f40a8ce0d8451947af3fd0323fbeee95c61b9293b8af366b23400, 1,8/29/2024 11:02,8/29/2024 11:05,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",FALSE,1,You have two ships,UnChecked,0,1
26cb5eaaedc26d35dc830b6e4e72ffda09e7d6cc973f27bbbe25ff74783104fe5d257, 1,8/29/2024 11:02,8/29/2024 11:05,,6,T/F,,Something can be both New and Improved,FALSE,1,TRUE,Checked,0,1
5cdf24991c43f9fb0a5f2ae59379bafa5f57f549c634f9ee4fe0a587d115e4e029bbd, 1,8/29/2024 11:02,8/29/2024 11:05,,6,T/F,,Something can be both New and Improved,FALSE,1,FALSE,UnChecked,0,1
be46bff6d1d6be96daedbdfb6d044a7aa050731238550b928d6e2ce9b9114b66dd8c7, 1,8/29/2024 11:02,8/29/2024 11:05,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",FALSE,1,Answer for blank # 1,???,0,1
215d72dd29723ffbf54539413bfddbbff97b0f50042f12e6b6f4195fe0f88cffe2e40, 1,8/29/2024 11:02,8/29/2024 11:05,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",FALSE,1,Answer for blank # 2,.........,0,1
